source_split,target,family,functional_family,n_qubits,tensor_size,original_tcount,objective_variant,execution_status,has_beam_candidate,factor_count,factor_qubit_concentration_index,factor_support_weight_mean,factor_pairwise_support_overlap_mean,factor_pairwise_jaccard_mean,decomp_tcount,decomp_tdepth,decomp_qasm_depth,decomp_qasm_depth_ratio,decomp_structural_status,optimization_elapsed_sec,materialization_elapsed_sec,objective_elapsed_sec,best_beam_materializer,best_beam_tcount,best_beam_tdepth,best_beam_qasm_depth,best_beam_qasm_depth_ratio,best_beam_primary_nc_depth_ratio,best_beam_cnots,target_objective_count,train_ready,oracle_objective,oracle_selection_status,objective_t_safe,objective_qasm_safe,objective_is_oracle,objective_rank,best_beam_summary_path
internal,nc_tof_3,arithmetic,toffoli-chain,5,7,21,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,nc_tof_3,arithmetic,toffoli-chain,5,7,21,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,nc_tof_3,arithmetic,toffoli-chain,5,7,21,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
external_standard,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,factor_count,failed,False,,,,,,,,,,not-materialized,,,,,,,,,,,0,False,,missing,False,False,False,,
external_standard,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,factor_count_pair_cap,failed,False,,,,,,,,,,not-materialized,,,,,,,,,,,0,False,,missing,False,False,False,,
external_standard,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,mixed_pair,failed,False,,,,,,,,,,not-materialized,,,,,,,,,,,0,False,,missing,False,False,False,,
external_standard,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,0,False,,missing,False,False,False,,
external_standard,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,0,False,,missing,False,False,False,,
external_standard,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,0,False,,missing,False,False,False,,
external_standard,nc_tof_4,arithmetic,toffoli-chain,7,11,35,factor_count,ok,True,24,0.1124330755502677,3.4166666666666665,1.2210144927536233,0.2379845295606165,24.0,6.0,290.0,4.67741935483871,missing-zx,,,,selected-beam-shared-parity-w16,24.0,3.0,243.0,3.9193548387096775,,92.0,3,True,factor_count,constrained,True,True,True,1,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count/selected-beam-shared-parity-w16/summary.json
