policy,policy_type,fold_target,source_split,target,selection_status,selected_objective,fixed_objective,oracle_objective,exact_oracle_match,weights,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
split_select_linear_alphaq,alphaq-factor,cuccaro_adder_n3,external_journal_k6_backfill,cuccaro_adder_n3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_count:2,factor_pairwise_support_overlap_mean:1",13.0,0.5064935064935064,204.0,13.0,0.5454545454545454,205.0,13.0,0.5064935064935064,204.0,1.0,0.9285714285714285,0.9951219512195122,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,cuccaro_adder_n3,external_journal_k6_backfill,cuccaro_adder_n3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",13.0,0.5064935064935064,204.0,13.0,0.5454545454545454,205.0,13.0,0.5064935064935064,204.0,1.0,0.9285714285714285,0.9951219512195122,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,cuccaro_adder_n3,external_journal_k6_backfill,cuccaro_adder_n3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",13.0,0.5064935064935064,204.0,13.0,0.5454545454545454,205.0,13.0,0.5064935064935064,204.0,1.0,0.9285714285714285,0.9951219512195122,1.0,1.0
baseline_factor_count,baseline,cuccaro_adder_n4,external_article_extended,cuccaro_adder_n4,ok,factor_count,,factor_count_pair_cap,False,,32.0,0.6274509803921569,259.0,32.0,0.6274509803921569,259.0,24.0,0.5098039215686274,254.0,1.0,1.0,1.0,1.3333333333333333,1.0196850393700787
best_fixed_loto,fixed-objective,cuccaro_adder_n4,external_article_extended,cuccaro_adder_n4,ok,factor_count,factor_count,factor_count_pair_cap,False,,32.0,0.6274509803921569,259.0,32.0,0.6274509803921569,259.0,24.0,0.5098039215686274,254.0,1.0,1.0,1.0,1.3333333333333333,1.0196850393700787
oracle_posthoc,oracle,cuccaro_adder_n4,external_article_extended,cuccaro_adder_n4,ok,factor_count_pair_cap,,factor_count_pair_cap,True,,24.0,0.5098039215686274,254.0,32.0,0.6274509803921569,259.0,24.0,0.5098039215686274,254.0,0.75,0.8125,0.9806949806949807,1.0,1.0
split_select_linear_alphaq,alphaq-factor,cuccaro_adder_n4,external_article_extended,cuccaro_adder_n4,ok,factor_count_pair_cap,,factor_count_pair_cap,True,"factor_count:2,factor_support_weight_mean:-1,factor_pairwise_support_overlap_mean:2,factor_pairwise_jaccard_mean:-1",24.0,0.5098039215686274,254.0,32.0,0.6274509803921569,259.0,24.0,0.5098039215686274,254.0,0.75,0.8125,0.9806949806949807,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,cuccaro_adder_n4,external_article_extended,cuccaro_adder_n4,ok,factor_count_pair_cap,,factor_count_pair_cap,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",24.0,0.5098039215686274,254.0,32.0,0.6274509803921569,259.0,24.0,0.5098039215686274,254.0,0.75,0.8125,0.9806949806949807,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,cuccaro_adder_n4,external_article_extended,cuccaro_adder_n4,ok,factor_count_pair_cap,,factor_count_pair_cap,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",24.0,0.5098039215686274,254.0,32.0,0.6274509803921569,259.0,24.0,0.5098039215686274,254.0,0.75,0.8125,0.9806949806949807,1.0,1.0
baseline_factor_count,baseline,cuccaro_adder_n4,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,,factor_count,True,,23.0,,241.0,23.0,,241.0,23.0,,241.0,1.0,,1.0,1.0,1.0
best_fixed_loto,fixed-objective,cuccaro_adder_n4,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,factor_count,factor_count,True,,23.0,,241.0,23.0,,241.0,23.0,,241.0,1.0,,1.0,1.0,1.0
oracle_posthoc,oracle,cuccaro_adder_n4,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,,factor_count,True,,23.0,,241.0,23.0,,241.0,23.0,,241.0,1.0,,1.0,1.0,1.0
split_select_linear_alphaq,alphaq-factor,cuccaro_adder_n4,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count_pair_cap,,factor_count,False,"factor_count:2,factor_support_weight_mean:-1,factor_pairwise_support_overlap_mean:2,factor_pairwise_jaccard_mean:-1",23.0,,251.0,23.0,,241.0,23.0,,241.0,1.0,,1.04149377593361,1.0,1.04149377593361
