policy,source_split,target,selection_status,selected_objective,oracle_objective,exact_oracle_match,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,selected_runtime_sec,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,baseline_runtime_sec,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,oracle_runtime_sec,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,runtime_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
best_fixed_loto,internal,gf_2pow3_mult,ok,factor_count,factor_count_pair_cap,False,35.0,0.8541666666666666,198.0,,35.0,0.8541666666666666,198.0,,33.0,0.9270833333333334,200.0,,1.0,1.0,1.0,,1.0606060606060606,0.99
circuit_1nn,internal,gf_2pow3_mult,ok,mixed_pair,factor_count_pair_cap,False,35.0,0.7395833333333334,191.0,,35.0,0.8541666666666666,198.0,,33.0,0.9270833333333334,200.0,,1.0,0.8658536585365855,0.9646464646464646,,1.0606060606060606,0.955
circuit_knn3,internal,gf_2pow3_mult,ok,factor_count,factor_count_pair_cap,False,35.0,0.8541666666666666,198.0,,35.0,0.8541666666666666,198.0,,33.0,0.9270833333333334,200.0,,1.0,1.0,1.0,,1.0606060606060606,0.99
circuit_nearest_centroid,internal,gf_2pow3_mult,ok,factor_count,factor_count_pair_cap,False,35.0,0.8541666666666666,198.0,,35.0,0.8541666666666666,198.0,,33.0,0.9270833333333334,200.0,,1.0,1.0,1.0,,1.0606060606060606,0.99
circuit_softmax,internal,gf_2pow3_mult,ok,factor_count,factor_count_pair_cap,False,35.0,0.8541666666666666,198.0,,35.0,0.8541666666666666,198.0,,33.0,0.9270833333333334,200.0,,1.0,1.0,1.0,,1.0606060606060606,0.99
shuffled_centroid_control,internal,gf_2pow3_mult,missing-selected-objective,frontier_pair,factor_count_pair_cap,,,,,,,,,,,,,,,,,,,
oracle_posthoc,internal,gf_2pow3_mult,ok,factor_count_pair_cap,factor_count_pair_cap,True,33.0,0.9270833333333334,200.0,,35.0,0.8541666666666666,198.0,,33.0,0.9270833333333334,200.0,,0.9428571428571428,1.0853658536585367,1.0101010101010102,,1.0,1.0
baseline_factor_count,external_article_extended,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,58.0,0.7553191489361702,461.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,1.0,1.0,1.0,,1.0357142857142858,0.9978354978354979
best_fixed_loto,external_article_extended,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,58.0,0.7553191489361702,461.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,1.0,1.0,1.0,,1.0357142857142858,0.9978354978354979
circuit_1nn,external_article_extended,gf_2pow4_mult,ok,factor_count_pair_cap,factor_count_pair_cap,True,56.0,0.7393617021276596,462.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,0.9655172413793104,0.9788732394366197,1.002169197396963,,1.0,1.0
