target,objective_variant,best_run,best_status,best_tcount,best_beam_qasm_depth,best_beam_tdepth,best_beam_materializer,completed_runs,failed_runs,missing_runs
mod_5_4,factor_count_pair_cap,article_core,ok,7.0,37.0,3.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
mod_5_4,frontier_pair,article_core,ok,7.0,37.0,3.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
mod_5_4,mixed_pair,article_core,ok,7.0,37.0,3.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
mod_mult_55,factor_count,journal_full_mod_mult_55,ok,18.0,268.0,3.0,selected-beam-shared-parity-w16,"article_extended,journal_full_mod_mult_55",,"standard,night_long,article_core,journal_repair_paircap,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
mod_mult_55,factor_count_pair_cap,article_extended,ok,28.0,264.0,5.0,selected-beam-shared-parity-w16,"article_extended,journal_full_mod_mult_55",,"standard,night_long,article_core,journal_repair_paircap,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
mod_mult_55,frontier_pair,article_extended,ok,29.0,264.0,4.0,selected-beam-shared-parity-w16,article_extended,,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
mod_mult_55,mixed_pair,article_extended,ok,18.0,252.0,3.0,selected-beam-shared-parity-w4,"article_extended,journal_full_mod_mult_55",,"standard,night_long,article_core,journal_repair_paircap,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
nc_tof_4,factor_count,night_long,ok,24.0,243.0,3.0,selected-beam-shared-parity-w16,"standard,night_long,article_core",,"article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
nc_tof_4,factor_count_pair_cap,article_core,ok,32.0,248.0,6.0,selected-beam-shared-parity-w16,"standard,night_long,article_core",,"article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
nc_tof_4,frontier_pair,article_core,ok,32.0,245.0,5.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
nc_tof_4,mixed_pair,night_long,ok,24.0,240.0,4.0,selected-beam-shared-parity-w16,"standard,night_long,article_core",,"article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
